Month-Day,RecordHigh,RecordHighYear,RecordLow,RecordLowYear,RecordLowMax,RecordLowMaxYear,RecordWarmMin,RecordWarmMinYear,NormalHigh,NormalLow
11-17,77.0,1896,17.0,1933,35.0,1924,64.0,1930,58,41
11-18,80.0,1921,21.0,"1959, and prior",33.0,1924,65.0,1928,57,41
11-19,77.0,1928,18.0,1891,33.0,1880,59.0,"2015, and prior",57,40
11-20,79.0,1942,20.0,1901,33.0,1873,60.0,"1985, and prior",56,40
11-21,79.0,1900,18.0,1872,28.0,1879,61.0,"1991, and prior",56,40
11-22,77.0,2007,12.0,1880,28.0,1880,60.0,1883,56,40
11-23,75.0,1979,12.0,1880,29.0,1880,60.0,1883,55,39
11-24,74.0,"2014, and prior",13.0,1880,31.0,"1956, and prior",60.0,1979,55,39
11-25,79.0,1973,18.0,1950,34.0,"1938, and prior",60.0,1979,55,39
11-26,74.0,1979,17.0,1950,29.0,1880,55.0,1946,54,39
11-27,75.0,1896,14.0,1938,30.0,"1930, and prior",60.0,1896,54,38
11-28,74.0,1973,15.0,1930,26.0,1930,55.0,"2001, and prior",54,38
11-29,73.0,1905,14.0,1930,30.0,1903,57.0,2001,53,38
11-30,75.0,1933,11.0,1929,24.0,"1929, and prior",62.0,2001,53,38
12-01,75.0,2006,14.0,"1936, and prior",26.0,1876,56.0,1991,53,38
12-02,73.0,1970,15.0,1886,25.0,1896,53.0,1982,52,37
12-03,71.0,2012,15.0,1976,27.0,1886,53.0,1982,52,37
12-04,76.0,1998,15.0,"1896, and prior",27.0,1886,57.0,1982,52,37
12-05,75.0,2001,14.0,1886,25.0,1886,59.0,1973,52,37
12-06,78.0,1998,11.0,1893,29.0,1910,55.0,2011,51,36
12-07,79.0,1998,10.0,1882,29.0,1958,58.0,1998,51,36
12-08,74.0,1978,8.0,1882,22.0,1882,58.0,1951,51,36
